age_upon_intake_(years),time_in_shelter_days
10,0.588194444
7,1.259722222
6,1.113888889
10,4.970138889
16,0.119444444
15,0.870833333
15,0.178472222
15,0.213194444
15,6.258333333
18,0.054166667
16,3.897222222
14,14.12013889
16,49.74791667
14,0.130555556
17,9.020138889
13,10.88611111
19,0.067361111
13,0.111111111
15,0.066666667
15,0.068055556
16,0.940277778
12,1.055555556
15,23.10486111
12,0.029166667
13,0.070138889
13,0.177083333
12,0.200694444
12,4.199305556
15,7.84375
13,4.804861111
15,4.552083333
14,0.896527778
15,89.85555556
14,0.05625
12,0.038888889
17,2.042361111
18,0.702083333
12,0.068055556
17,4.018055556
16,0.120138889
14,0.088194444
14,3.814583333
13,0.884027778
14,0.846527778
20,0.090972222
12,6.727083333
13,0.045138889
12,6.709027778
11,2.755555556
14,5.841666667
11,0.3375
14,10.78125
12,9.055555556
12,146.9645833
13,5.071527778
12,37.13888889
13,0.299305556
11,1.008333333
17,0.827777778
14,0.05
13,0.40625
12,0.229861111
11,10.93819444
15,3.472222222
12,1.933333333
15,5.815277778
15,0.810416667
12,0.065277778
12,0.752777778
11,0.186805556
12,174.1895833
15,0.324305556
18,0.888194444
13,0.052083333
13,51.17916667
10,147.8423611
16,7.938888889
13,0.229166667
13,8.065972222
11,0.664583333
12,3.172916667
13,0.079166667
14,0.799305556
14,4.141666667
13,2.864583333
13,11.05208333
12,21.16180556
14,0.913888889
14,0.284027778
13,2.027083333
11,4.996527778
13,0.097916667
12,0.891666667
16,0.458333333
13,30.13958333
15,0.10625
13,7.022222222
13,25.77569444
12,48.09791667
14,0.01875
14,2.231944444
10,57.15
16,0.876388889
12,0.060416667
11,7.958333333
12,0.741666667
11,0.292361111
12,7.559722222
14,1.054861111
10,0.608333333
14,3.472222222
17,4.018055556
16,1.208333333
10,2.075
15,10.02916667
14,0.150694444
15,10.025
14,0.052777778
9,0.054861111
12,0.1125
12,0.131944444
12,0.069444444
10,1.133333333
14,1.549305556
12,9.265972222
14,0.807638889
11,2.910416667
11,1.036111111
14,0.222222222
16,27.95486111
13,0.079861111
12,90.37847222
11,26.98472222
11,0.432638889
12,0.713194444
9,58.03819444
9,8.986111111
13,2.274305556
14,2.95
13,38.85
10,0.4875
10,3.049305556
9,6.954166667
11,3.929861111
10,1.938888889
11,0.022916667
13,0.057638889
13,0.242361111
11,5.331944444
14,3.958333333
13,2.311805556
11,10.52569444
11,7.008333333
16,2.476388889
13,10.99513889
13,10.98958333
13,168.1673611
14,78.05277778
13,2.609027778
13,11.83055556
11,7.004861111
14,0.904861111
10,42.01319444
