time_in_shelter_days,age_upon_outcome_(years),age_upon_outcome_(days)
0.59,10,3650
1.26,7,2555
1.11,6,2190
4.97,10,3650
0.12,16,5840
0.87,15,5475
0.18,15,5475
0.21,15,5475
6.26,15,5475
0.05,18,6570
3.9,16,5840
14.12,14,5110
49.75,16,5840
0.13,14,5110
9.02,17,6205
10.89,13,4745
0.07,19,6935
0.11,13,4745
0.07,15,5475
0.07,15,5475
0.94,16,5840
1.06,12,4380
23.1,15,5475
0.03,12,4380
0.07,13,4745
0.18,13,4745
0.2,12,4380
4.2,13,4745
7.84,15,5475
4.8,13,4745
4.55,15,5475
0.9,14,5110
89.86,15,5475
0.06,14,5110
0.04,12,4380
2.04,17,6205
0.7,18,6570
0.07,12,4380
4.02,17,6205
0.12,16,5840
0.09,14,5110
3.81,14,5110
0.88,13,4745
0.85,14,5110
0.09,20,7300
6.73,12,4380
0.05,13,4745
6.71,12,4380
2.76,11,4015
5.84,14,5110
0.34,11,4015
10.78,14,5110
9.06,12,4380
146.96,12,4380
5.07,13,4745
37.14,12,4380
0.3,13,4745
1.01,11,4015
0.83,17,6205
0.05,14,5110
0.41,13,4745
0.23,12,4380
10.94,11,4015
3.47,15,5475
1.93,12,4380
5.82,15,5475
0.81,15,5475
0.07,12,4380
0.75,12,4380
0.19,11,4015
174.19,12,4380
0.32,15,5475
0.89,18,6570
0.05,13,4745
51.18,13,4745
147.84,11,4015
7.94,16,5840
0.23,13,4745
8.07,13,4745
0.66,11,4015
3.17,12,4380
0.08,13,4745
0.8,14,5110
4.14,14,5110
2.86,13,4745
11.05,13,4745
21.16,12,4380
0.91,14,5110
0.28,14,5110
2.03,13,4745
5,11,4015
0.1,13,4745
0.89,12,4380
0.46,16,5840
30.14,13,4745
0.11,15,5475
7.02,13,4745
25.78,13,4745
48.1,12,4380
0.02,14,5110
2.23,14,5110
57.15,10,3650
0.88,16,5840
0.06,12,4380
7.96,11,4015
0.74,12,4380
0.29,11,4015
7.56,12,4380
1.05,14,5110
0.61,10,3650
3.47,14,5110
4.02,17,6205
1.21,16,5840
2.08,10,3650
10.03,15,5475
0.15,14,5110
10.03,15,5475
0.05,14,5110
0.05,9,3285
0.11,12,4380
0.13,12,4380
0.07,12,4380
1.13,10,3650
1.55,14,5110
9.27,12,4380
0.81,14,5110
2.91,11,4015
1.04,11,4015
0.22,14,5110
27.95,16,5840
0.08,13,4745
90.38,13,4745
26.98,11,4015
0.43,11,4015
0.71,12,4380
58.04,9,3285
8.99,9,3285
2.27,13,4745
2.95,14,5110
38.85,13,4745
0.49,10,3650
3.05,10,3650
6.95,10,3650
3.93,11,4015
1.94,10,3650
0.02,11,4015
0.06,13,4745
0.24,13,4745
5.33,11,4015
3.96,14,5110
2.31,13,4745
10.53,11,4015
7.01,11,4015
2.48,16,5840
11,13,4745
10.99,13,4745
168.17,13,4745
78.05,14,5110
2.61,13,4745
11.83,13,4745
7,11,4015
0.9,14,5110
42.01,10,3650
32.01,10,3650
3.14,11,4015
1,13,4745
0.7,12,4380
28.17,9,3285
1.15,11,4015
9.2,11,4015
1.01,10,3650
3.07,12,4380
0.18,11,4015
6.28,11,4015
0.98,13,4745
20.99,12,4380
0.76,12,4380
0.28,12,4380
11.25,12,4380
348.93,12,4380
6.7,9,3285
0.76,10,3650
0.07,10,3650
0.07,11,4015
4.16,10,3650
0.04,16,5840
0.17,11,4015
1.9,16,5840
15.74,10,3650
0.23,13,4745
5.11,10,3650
0.1,12,4380
291.78,10,3650
4.93,9,3285
64.84,11,4015
0.13,13,4745
0.13,10,3650
0.05,14,5110
7.19,5,1825
19.07,9,3285
1.07,13,4745
0.19,11,4015
0.26,13,4745
0.88,13,4745
87.71,9,3285
38.11,9,3285
0.05,10,3650
2.39,10,3650
16.2,15,5475
2.05,10,3650
11,11,4015
2.07,9,3285
201.6,13,4745
0.81,12,4380
0.21,14,5110
9.2,13,4745
5.06,13,4745
3.02,11,4015
0.12,10,3650
30.05,14,5110
0.23,12,4380
12.69,9,3285
14.94,9,3285
0.03,10,3650
0.71,10,3650
9.15,10,3650
12.2,10,3650
